names,descriptions,classified_products
Women's Campside Oxfords,"This ultracomfortable lace-to-toe Oxford boasts a super-soft canvas, thick cushioning, and quality construction for a broken-in feel from the first time you put them on. ","['Footwear', 'Casual Shoes', ""Women's Shoes""]"
"Recycled Waterhog Dog Mat, Chevron Weave","Protect your floors from spills and splashing with our ultradurable recycled Waterhog dog mat made right here in the USA. ","['Pet Accessories', 'Dog Mats', 'Home & Garden']"
"Infant and Toddler Girls' Coastal Chill Swimsuit, Two-Piece","Protect your floors from spills and splashing with our ultradurable recycled Waterhog dog mat made right here in the USA. ","['Clothing', 'Swimwear', 'Infant and Toddler']"
"Refresh Swimwear, V-Neck Tankini Contrasts","Whether you're going for a swim or heading out on an SUP, this watersport-ready tankini top is designed to move with you and stay comfortable. All while looking great in an eye-catching colorblock style. ","['Swimwear', 'Tankini', 'Watersports Clothing']"
EcoFlex 3L Storm Pants,"Our new TEK O2 technology makes our four-season waterproof pants even more breathable. It's guaranteed to keep you dry and comfortable – whatever the activity and whatever the weather. Size & Fit: Slightly Fitted through hip and thigh. ","['Clothing', 'Pants', 'Outdoor Gear']"
"Smooth Comfort Check Shirt, Slightly Fitted","Our new TEK O2 technology makes our four-season waterproof pants even more breathable. It's guaranteed to keep you dry and comfortable – whatever the activity and whatever the weather. Size & Fit: Slightly Fitted through hip and thigh. ","['Clothing', 'Shirts', 'Outdoor Apparel']"
Mens Outdoor Research Apex Gloves,"Our new TEK O2 technology makes our four-season waterproof pants even more breathable. It's guaranteed to keep you dry and comfortable – whatever the activity and whatever the weather. Size & Fit: Slightly Fitted through hip and thigh. ","['Clothing', 'Gloves', 'Outdoor Gear']"
"Women's Ultraplush Sweats, Relaxed Crewneck","Our new TEK O2 technology makes our four-season waterproof pants even more breathable. It's guaranteed to keep you dry and comfortable – whatever the activity and whatever the weather. Size & Fit: Slightly Fitted through hip and thigh. ","['Clothing', ""Women's Clothing"", 'Sweatshirts']"
Mountain Man Fleece Jacket,"Our best-value fleece jacket is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. ","['Clothing', 'Outerwear', 'Fleece Jackets']"
"Compact Camping Table, 25""","Our best-value fleece jacket is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. ","['Camping Equipment', 'Outdoor Furniture', 'Tables']"
"Cozy Comfort Pullover Set, Stripe","Perfect for lounging, this striped knit set lives up to its name. We used ultrasoft fabric and an easy design that's as comfortable at bedtime as it is when we have to make a quick run out.","['Clothing', 'Loungewear', 'Sweaters']"
Ultra-Lofty 850 Stretch Down Hooded Jacket,"Perfect for lounging, this striped knit set lives up to its name. We used ultrasoft fabric and an easy design that's as comfortable at bedtime as it is when we have to make a quick run out.","['Clothing', 'Outerwear', 'Jackets']"
CozyCloud Flannel Sheet Set,"Our Ultrasoft Flannel Bedding solid colored soft flannel sheet set is the perfect choice for those looking for year-round comfort. With its five-ounce weight and brushed cotton flannel construction, it will keep its bright colors wash after wash. It has been tested for harmful substances to the STANDARD 100 by OEKO-TEX® Certification (137 CITEVE) and is woven in Portugal exclusively for . This set includes one flat sheet, one fitted sheet and two cases; Twin has one case. ","['Bedding', 'Home Textiles', 'Flannel Sheets']"
Men's Maine Explorer Zip-Front Jac-Shirt,"This classic wool jac-shirt is a unique combination of a jacket and a shirt, so you can wear it all year round. It fits loosely, perfect for layering when it's cold outside but can also be worn as an outer shirt when it's warm. ","['Clothing', 'Outerwear', 'Shirts']"
"Easy-Care Classic Stripe Short-Sleeve Shirt, Traditional Fit","The ultimate striped chambray shirt – we kept everything you love and made it even better. Light and breathable in 100% cotton, with an easy-care finish that sheds wrinkles remarkably well. ","['Clothing', 'Shirts', 'Short-Sleeve Shirts']"
Wind Chaser 110 Kayak,"This lightweight recreational kayak is designed with a hard-chined hull for superior performance, a generously sized cockpit for easy entry and exit, and excellent stability so everyone in the family will enjoy paddling it. ","['Kayaks', 'Water Sports', 'Outdoor Recreation']"
Camo Trekker Midweight Quarter-Zip Pullover Hoodie,"This camo quarter-zip hoodie is an extremely versatile mid layer that's great for all hunting seasons. It's made from warm, breathable fleece and features an innovative lightweight hood with a built-in face mask. ","['Clothing', 'Hoodies', 'Hunting Gear']"
Summit Soft Loveseat,"Our upholstered loveseat sofa is designed for smaller spaces – and years of enjoyment. Specs: Dimensions: 38""H x 61""W x 36""D. Weight: 115 lb. ","['Furniture', 'Outdoor Furniture', 'Sofas']"
"Zen Wave SUP Board, 10'8""","This inflatable SUP combines the rigidity of a hard board with the convenience of an inflatable. Inflates to a rock-hard 20 psi for performance that rivals a hard board. Specs: Dimensions: 10'8""L x 35""W x 6""D.","['Water Sports', 'Stand Up Paddleboarding', 'Inflatable Boards']"
Buckingham Leather Sofa,"This inflatable SUP combines the rigidity of a hard board with the convenience of an inflatable. Inflates to a rock-hard 20 psi for performance that rivals a hard board. Specs: Dimensions: 10'8""L x 35""W x 6""D.","['Outdoor Equipment', 'Water Sports', 'Stand Up Paddleboards']"
Women's Camelbak Horizon Hydration Pack,"This inflatable SUP combines the rigidity of a hard board with the convenience of an inflatable. Inflates to a rock-hard 20 psi for performance that rivals a hard board. Specs: Dimensions: 10'8""L x 35""W x 6""D.","['Outdoor Gear', 'Hydration Packs', 'Water Sports']"
"Militia Pullover, Crewneck","This inflatable SUP combines the rigidity of a hard board with the convenience of an inflatable. Inflates to a rock-hard 20 psi for performance that rivals a hard board. Specs: Dimensions: 10'8""L x 35""W x 6""D.","['Clothing', 'Outdoor Apparel', 'Sweaters']"
"Comfyside Sweats, Straight-Leg","Our Ultrasoft Sweatpants in a straight-leg style—made from remarkably comfortable french terry. ","['Clothing', 'Pants', 'Sweatpants']"
"Campers' Adventure Bag, Zip-Top with Shoulder Strap","Ideal for waterfowling, dog training or shooting, the water-resistant zip-top tote stands up to rugged use in the field while keeping your belongings protected and dry. It's been updated with a convenient shoulder strap. ","['Bags', 'Outdoor Accessories', 'Water-Resistant Gear']"
Junior All-Terrain Adventurers,"Ideal for waterfowling, dog training or shooting, the water-resistant zip-top tote stands up to rugged use in the field while keeping your belongings protected and dry. It's been updated with a convenient shoulder strap. ","['Outdoor Gear', 'Totes', 'Water-Resistant Accessories']"
